団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
402141,福岡県,豊前市,0.53,92.8,8.6,-,97.0
402150,福岡県,中間市,0.45,93.7,4.0,-,99.8
402168,福岡県,小郡市,0.63,94.9,6.8,-,100.1
402176,福岡県,筑紫野市,0.75,87.7,2.7,-,99.4
402184,福岡県,春日市,0.73,88.1,2.7,-,99.8
402192,福岡県,大野城市,0.78,86.6,2.7,-,100.2
402206,福岡県,宗像市,0.58,93.6,▲ 0.6,-,93.7
402214,福岡県,太宰府市,0.63,94.5,2.7,-,100.6
402231,福岡県,古賀市,0.67,93.4,5.1,-,93.4
402249,福岡県,福津市,0.55,89.8,5.8,-,95.2
402257,福岡県,うきは市,0.38,85.3,6.5,-,97.1
402265,福岡県,宮若市,0.63,93.7,7.9,-,98.2
402273,福岡県,嘉麻市,0.28,108.0,7.1,11.5,97.7
402281,福岡県,朝倉市,0.50,92.5,8.1,-,98.9
402290,福岡県,みやま市,0.41,92.7,6.0,5.6,99.3
402303,福岡県,糸島市,0.56,85.7,6.3,-,98.8
402311,福岡県,那珂川市,0.69,93.1,7.3,-,99.7
403415,福岡県,宇美町,0.58,93.1,6.6,-,95.8
403423,福岡県,篠栗町,0.60,97.1,6.7,-,98.3
403431,福岡県,志免町,0.72,89.9,4.8,-,99.0
403440,福岡県,須恵町,0.62,91.6,6.5,25.3,97.3
403458,福岡県,新宮町,0.83,88.6,8.6,-,96.3
403482,福岡県,久山町,0.76,90.0,11.8,-,94.4
403491,福岡県,粕屋町,0.85,89.2,7.9,-,98.5
403814,福岡県,芦屋町,0.34,99.7,5.7,-,94.8
403822,福岡県,水巻町,0.50,88.4,5.4,11.4,95.4
403831,福岡県,岡垣町,0.53,91.7,3.8,-,98.1
403849,福岡県,遠賀町,0.54,87.5,7.0,-,94.6
404012,福岡県,小竹町,0.32,90.7,7.0,88.0,95.7
404021,福岡県,鞍手町,0.42,94.3,7.7,-,94.1
404217,福岡県,桂川町,0.39,96.2,3.6,-,96.7
404471,福岡県,筑前町,0.48,90.3,10.7,31.1,99.1
404489,福岡県,東峰村,0.12,80.9,7.0,-,96.8
405035,福岡県,大刀洗町,0.46,82.9,9.1,-,98.1
405221,福岡県,大木町,0.48,83.6,5.9,-,98.1
405442,福岡県,広川町,0.60,91.3,8.4,24.1,97.9
406015,福岡県,香春町,0.30,91.6,3.7,-,97.2
406023,福岡県,添田町,0.23,96.0,5.9,-,96.3
406040,福岡県,糸田町,0.22,97.7,5.8,-,98.6
406058,福岡県,川崎町,0.29,91.7,8.2,26.6,93.5
406082,福岡県,大任町,0.17,89.1,9.5,33.8,91.9
406091,福岡県,赤村,0.15,86.2,▲ 0.9,-,96.3
406104,福岡県,福智町,0.27,95.9,6.7,-,97.6
406210,福岡県,苅田町,1.25,80.5,9.5,16.4,99.5
406252,福岡県,みやこ町,0.34,89.3,6.3,-,96.7
406422,福岡県,吉富町,0.37,86.1,8.9,-,94.4
406465,福岡県,上毛町,0.28,88.5,0.1,-,94.6
406473,福岡県,築上町,0.32,99.8,10.6,25.9,98.8
412015,佐賀県,佐賀市,0.63,95.1,2.4,-,98.4
412023,佐賀県,唐津市,0.43,89.3,13.5,111.1,97.7
412031,佐賀県,鳥栖市,0.91,84.9,0.6,-,99.1
412040,佐賀県,多久市,0.35,93.7,12.4,-,98.3
412058,佐賀県,伊万里市,0.57,85.9,8.0,29.5,98.2
412066,佐賀県,武雄市,0.48,95.6,10.5,10.5,99.6
412074,佐賀県,鹿島市,0.47,93.4,9.3,101.2,97.3
412082,佐賀県,小城市,0.41,95.7,9.3,-,96.4
412091,佐賀県,嬉野市,0.38,93.1,8.7,-,94.5
412104,佐賀県,神埼市,0.43,94.0,9.3,37.1,97.5
413275,佐賀県,吉野ヶ里町,0.51,92.4,8.9,-,96.8
413411,佐賀県,基山町,0.63,91.5,6.6,-,99.1
413453,佐賀県,上峰町,0.52,91.0,7.5,-,95.7
413461,佐賀県,みやき町,0.41,100.6,10.0,15.8,95.6
413879,佐賀県,玄海町,1.26,67.8,1.0,-,96.3
414018,佐賀県,有田町,0.35,92.6,8.5,-,97.6
414239,佐賀県,大町町,0.29,92.2,7.6,-,95.4
414247,佐賀県,江北町,0.37,90.1,12.1,-,97.8
414255,佐賀県,白石町,0.33,91.6,10.2,-,96.6
414417,佐賀県,太良町,0.26,91.0,6.0,-,95.6
422011,長崎県,長崎市,0.57,97.9,10.4,96.0,97.5
422029,長崎県,佐世保市,0.53,94.2,5.5,-,98.5
422037,長崎県,島原市,0.42,95.5,5.5,-,97.6
422045,長崎県,諫早市,0.59,96.5,7.3,-,97.8
422053,長崎県,大村市,0.62,98.2,8.9,-,97.8
422070,長崎県,平戸市,0.24,91.3,3.3,-,96.7
422088,長崎県,松浦市,0.53,92.0,10.7,31.0,99.0
422096,長崎県,対馬市,0.20,90.4,8.8,18.8,98.1
422100,長崎県,壱岐市,0.22,95.1,7.6,18.5,95.9
422118,長崎県,五島市,0.24,93.9,8.4,-,96.6
422126,長崎県,西海市,0.29,87.8,0.7,-,98.9
422134,長崎県,雲仙市,0.28,89.4,4.3,-,98.3
422142,長崎県,南島原市,0.25,88.1,▲ 5.2,-,97.3
423076,長崎県,長与町,0.62,93.7,7.1,-,99.1
423084,長崎県,時津町,0.66,92.9,5.3,-,98.5
423211,長崎県,東彼杵町,0.30,90.5,8.9,21.4,96.0
423220,長崎県,川棚町,0.36,86.5,7.2,21.2,97.5
423238,長崎県,波佐見町,0.39,85.5,8.4,-,99.0
423831,長崎県,小値賀町,0.10,82.7,8.9,-,94.2
423912,長崎県,佐々町,0.48,91.0,8.8,-,99.7
424111,長崎県,新上五島町,0.22,80.6,1.4,-,97.2
431001,熊本県,熊本市,0.69,93.0,5.5,92.9,99.8
432024,熊本県,八代市,0.50,93.3,9.6,83.3,96.0
432032,熊本県,人吉市,0.43,94.3,7.7,9.0,94.2
432041,熊本県,荒尾市,0.47,95.5,9.6,92.8,95.3
432059,熊本県,水俣市,0.37,91.5,9.5,2.7,95.6
432067,熊本県,玉名市,0.43,97.6,8.5,17.9,97.7
432083,熊本県,山鹿市,0.34,97.0,9.6,-,97.3
432105,熊本県,菊池市,0.44,90.2,9.1,1.2,95.5
432113,熊本県,宇土市,0.50,94.9,11.6,-,96.4
432121,熊本県,上天草市,0.25,92.9,11.6,-,98.5
432130,熊本県,宇城市,0.40,96.1,10.7,23.2,99.1
432148,熊本県,阿蘇市,0.34,92.9,8.9,54.2,96.6
432156,熊本県,天草市,0.28,91.7,9.5,-,97.0
432164,熊本県,合志市,0.63,91.4,7.0,-,96.5
433489,熊本県,美里町,0.22,96.5,8.1,-,94.1
433641,熊本県,玉東町,0.30,92.5,6.1,-,95.8
433675,熊本県,南関町,0.38,89.2,8.1,18.2,93.7
433683,熊本県,長洲町,0.51,93.5,6.4,44.2,93.6
433691,熊本県,和水町,0.25,94.5,10.3,-,95.2
434035,熊本県,大津町,0.72,89.9,6.5,-,98.6
434043,熊本県,菊陽町,0.94,91.8,6.7,24.9,98.8
434230,熊本県,南小国町,0.19,88.3,6.6,-,95.9
434248,熊本県,小国町,0.24,85.6,9.0,-,94.5
434256,熊本県,産山村,0.15,85.4,8.2,-,93.8
434281,熊本県,高森町,0.25,73.4,5.0,-,95.5
434329,熊本県,西原村,0.34,93.1,8.5,-,97.5
434337,熊本県,南阿蘇村,0.21,95.4,12.7,22.3,95.7
434418,熊本県,御船町,0.35,89.0,14.2,-,93.1
434426,熊本県,嘉島町,0.61,86.3,10.7,66.7,93.8
434434,熊本県,益城町,0.48,93.1,10.0,22.4,93.5
434442,熊本県,甲佐町,0.29,83.7,7.9,-,92.4
434477,熊本県,山都町,0.23,83.2,3.9,4.2,93.6
434680,熊本県,氷川町,0.28,99.9,13.3,7.9,92.2
434825,熊本県,芦北町,0.35,89.5,4.9,-,93.8
434841,熊本県,津奈木町,0.23,84.8,3.5,-,94.7
435015,熊本県,錦町,0.39,84.9,8.9,2.5,93.9
435058,熊本県,多良木町,0.23,82.5,9.0,-,96.5
435066,熊本県,湯前町,0.16,85.3,5.7,-,94.0
435074,熊本県,水上村,0.16,84.5,11.7,-,92.9
435104,熊本県,相良村,0.20,84.9,8.7,-,94.4
435112,熊本県,五木村,0.21,91.4,11.9,-,94.0
435121,熊本県,山江村,0.15,88.8,9.3,-,93.1
435139,熊本県,球磨村,0.14,80.8,6.9,-,92.4
435147,熊本県,あさぎり町,0.23,85.7,8.3,-,94.6
435317,熊本県,苓北町,0.41,87.7,12.5,18.1,97.6
442011,大分県,大分市,0.86,97.3,5.9,41.1,100.8
442020,大分県,別府市,0.55,97.1,4.1,-,99.6
442038,大分県,中津市,0.51,93.8,5.5,33.2,100.1
442046,大分県,日田市,0.42,94.5,5.5,-,100.3
442054,大分県,佐伯市,0.33,95.5,10.0,-,100.1
442062,大分県,臼杵市,0.37,93.8,8.1,-,100.2
442071,大分県,津久見市,0.39,94.1,9.0,-,99.1
442089,大分県,竹田市,0.25,97.3,7.7,7.6,99.5
442097,大分県,豊後高田市,0.31,86.5,3.8,-,100.4
442101,大分県,杵築市,0.33,90.0,4.5,-,99.3
442119,大分県,宇佐市,0.42,96.8,6.9,20.7,100.0
442127,大分県,豊後大野市,0.28,92.4,6.3,-,99.9
442135,大分県,由布市,0.41,96.6,7.2,30.6,100.4
442143,大分県,国東市,0.29,95.7,4.5,-,99.8
443221,大分県,姫島村,0.10,84.4,3.4,-,81.9
443417,大分県,日出町,0.58,93.8,8.2,7.8,100.4
444618,大分県,九重町,0.32,86.7,4.8,-,99.6
444626,大分県,玖珠町,0.36,94.2,3.5,-,100.2
452017,宮崎県,宮崎市,0.69,94.3,7.5,20.9,98.3
452025,宮崎県,都城市,0.54,95.9,5.7,-,98.3
452033,宮崎県,延岡市,0.52,96.9,8.1,2.1,99.0
452041,宮崎県,日南市,0.40,91.6,9.7,57.7,99.5
452050,宮崎県,小林市,0.38,95.7,12.8,70.6,97.6
452068,宮崎県,日向市,0.55,89.7,10.9,34.8,99.2
452076,宮崎県,串間市,0.31,92.8,7.4,38.6,97.9
452084,宮崎県,西都市,0.38,90.9,2.8,-,97.2
452092,宮崎県,えびの市,0.35,96.5,4.2,-,97.9
453412,宮崎県,三股町,0.44,92.2,6.3,-,95.5
453617,宮崎県,高原町,0.27,95.9,7.2,-,97.0
453820,宮崎県,国富町,0.46,91.5,11.3,57.5,97.2
453838,宮崎県,綾町,0.27,91.8,8.3,27.5,95.3
454010,宮崎県,高鍋町,0.51,89.1,10.9,-,96.4
454028,宮崎県,新富町,0.45,86.1,7.8,-,97.1
454036,宮崎県,西米良村,0.14,78.2,7.1,-,92.8
454044,宮崎県,木城町,0.79,81.2,3.1,-,96.5
454052,宮崎県,川南町,0.44,88.9,8.5,-,94.7
454061,宮崎県,都農町,0.30,88.2,7.4,-,95.4
454214,宮崎県,門川町,0.41,87.0,6.9,-,97.2
454290,宮崎県,諸塚村,0.27,78.5,5.3,-,93.1
454303,宮崎県,椎葉村,0.17,82.1,10.1,-,94.5
454311,宮崎県,美郷町,0.19,82.8,7.5,-,95.7
454419,宮崎県,高千穂町,0.24,96.2,6.6,-,98.3
454427,宮崎県,日之影町,0.17,86.3,8.5,-,96.9
454435,宮崎県,五ケ瀬町,0.15,91.6,8.7,-,97.9
462012,鹿児島県,鹿児島市,0.70,92.7,4.7,32.0,99.3
462039,鹿児島県,鹿屋市,0.48,92.6,5.5,-,96.9
462047,鹿児島県,枕崎市,0.39,87.8,7.7,-,96.7
462063,鹿児島県,阿久根市,0.36,93.6,7.0,-,95.2
462080,鹿児島県,出水市,0.42,89.1,7.5,-,98.0
462101,鹿児島県,指宿市,0.34,91.9,9.4,18.1,98.6
462136,鹿児島県,西之表市,0.27,84.5,9.0,-,97.0
462144,鹿児島県,垂水市,0.29,92.0,9.2,-,95.3
462152,鹿児島県,薩摩川内市,0.59,91.9,7.3,-,97.0
462161,鹿児島県,日置市,0.40,92.0,8.1,0.1,96.8
462179,鹿児島県,曽於市,0.30,87.1,6.6,-,98.6
462187,鹿児島県,霧島市,0.54,87.8,6.0,-,97.7
462195,鹿児島県,いちき串木野市,0.38,90.9,11.9,10.5,94.8
462209,鹿児島県,南さつま市,0.29,91.1,7.3,-,96.1
462217,鹿児島県,志布志市,0.38,85.9,10.8,-,97.2
462225,鹿児島県,奄美市,0.27,91.2,9.5,0.7,97.6
462233,鹿児島県,南九州市,0.35,91.8,6.8,-,97.5
462241,鹿児島県,伊佐市,0.38,92.0,8.9,-,98.7
462250,鹿児島県,姶良市,0.50,90.5,9.4,45.7,98.8
463035,鹿児島県,三島村,0.06,90.4,13.9,-,89.9
463043,鹿児島県,十島村,0.07,87.7,3.4,-,93.8
463922,鹿児島県,さつま町,0.36,90.1,4.9,-,95.3
464040,鹿児島県,長島町,0.18,89.9,9.4,-,97.3
464520,鹿児島県,湧水町,0.30,90.0,9.0,-,95.9
464686,鹿児島県,大崎町,0.35,84.3,7.1,-,95.5
464821,鹿児島県,東串良町,0.29,89.2,7.9,-,96.5
464902,鹿児島県,錦江町,0.19,87.6,6.2,-,96.0
464911,鹿児島県,南大隅町,0.16,86.9,10.2,-,96.0
464929,鹿児島県,肝付町,0.27,91.2,7.6,-,96.8
465011,鹿児島県,中種子町,0.21,88.6,10.9,3.5,96.5
465020,鹿児島県,南種子町,0.23,90.5,10.9,-,96.7
465054,鹿児島県,屋久島町,0.23,87.4,10.0,-,96.1
465232,鹿児島県,大和村,0.08,90.8,7.3,-,94.7
465241,鹿児島県,宇検村,0.08,92.8,9.3,-,92.4
465259,鹿児島県,瀬戸内町,0.16,92.0,9.3,-,91.9
465275,鹿児島県,龍郷町,0.17,88.0,8.9,-,94.4
465291,鹿児島県,喜界町,0.16,82.9,10.4,-,94.5
465305,鹿児島県,徳之島町,0.23,85.6,7.9,39.5,90.7
465313,鹿児島県,天城町,0.15,89.5,6.8,-,92.7
465321,鹿児島県,伊仙町,0.13,87.6,9.5,89.2,89.3
465330,鹿児島県,和泊町,0.18,89.8,16.6,7.3,93.0
465348,鹿児島県,知名町,0.15,88.4,11.9,12.6,95.1
465356,鹿児島県,与論町,0.15,89.4,9.9,29.1,90.1
472018,沖縄県,那覇市,0.83,89.7,8.2,41.4,97.1
472051,沖縄県,宜野湾市,0.65,93.4,6.4,20.1,95.1
472077,沖縄県,石垣市,0.45,89.4,7.0,55.6,96.9
472085,沖縄県,浦添市,0.76,95.0,5.6,8.3,95.2
472093,沖縄県,名護市,0.45,98.1,6.4,32.1,94.3
472107,沖縄県,糸満市,0.53,92.1,8.9,26.2,95.8
472115,沖縄県,沖縄市,0.57,92.1,5.6,30.8,95.5
472123,沖縄県,豊見城市,0.63,89.1,8.8,99.2,96.5
472131,沖縄県,うるま市,0.47,96.0,6.2,-,95.9
472140,沖縄県,宮古島市,0.38,91.6,9.7,20.1,95.7
472158,沖縄県,南城市,0.37,87.9,5.8,3.1,97.2
473014,沖縄県,国頭村,0.20,88.7,7.9,-,93.2
473022,沖縄県,大宜味村,0.38,86.5,8.1,-,97.3
473031,沖縄県,東村,0.13,86.8,8.5,-,91.3
473065,沖縄県,今帰仁村,0.26,81.6,7.3,0.2,91.4
473081,沖縄県,本部町,0.34,88.8,10.1,-,92.1
473111,沖縄県,恩納村,0.61,78.1,5.2,-,96.3
473138,沖縄県,宜野座村,0.29,82.5,9.1,-,95.7
473146,沖縄県,金武町,0.38,89.8,4.4,-,95.1
473154,沖縄県,伊江村,0.15,79.1,5.1,-,92.4
473243,沖縄県,読谷村,0.62,84.1,4.1,-,98.2
473251,沖縄県,嘉手納町,0.60,82.6,1.3,-,95.2
473260,沖縄県,北谷町,0.79,78.0,4.5,-,95.2
473278,沖縄県,北中城村,0.63,82.9,5.5,39.6,98.6
473286,沖縄県,中城村,0.61,82.3,5.4,137.1,99.8
473294,沖縄県,西原町,0.62,90.4,6.6,9.5,97.3
473481,沖縄県,与那原町,0.46,89.4,8.0,78.9,97.4
473502,沖縄県,南風原町,0.62,87.1,9.1,26.1,99.2
473537,沖縄県,渡嘉敷村,0.10,86.2,7.6,-,91.4
473545,沖縄県,座間味村,0.09,87.2,10.3,42.8,94.2
473553,沖縄県,粟国村,0.09,96.9,9.3,145.1,90.2
473561,沖縄県,渡名喜村,0.07,98.4,9.3,-,87.0
473570,沖縄県,南大東村,0.14,81.2,7.5,-,89.4
473588,沖縄県,北大東村,0.10,84.4,8.2,-,90.6
473596,沖縄県,伊平屋村,0.08,84.4,5.1,136.5,93.0
473600,沖縄県,伊是名村,0.10,92.3,6.0,39.8,94.8
473618,沖縄県,久米島町,0.19,90.0,5.1,-,94.4
473626,沖縄県,八重瀬町,0.44,88.8,8.5,1.9,96.9
473758,沖縄県,多良間村,0.11,72.8,6.2,-,79.1
473812,沖縄県,竹富町,0.14,91.0,6.8,11.3,95.7
473821,沖縄県,与那国町,0.14,92.2,7.3,-,86.4
全国市町村平均,,,0.48,93.1,5.6,6.3,－
