団体コード,都道府県名,団体名,財政力指数,経常収支比率,実質公債費比率,将来負担比率,ラスパイレス指数
112381,埼玉県,蓮田市,0.71,92.3,3.4,-,99.9
112399,埼玉県,坂戸市,0.78,93.8,8.6,-,100.3
112402,埼玉県,幸手市,0.68,93.2,4.3,17.0,98.9
112411,埼玉県,鶴ケ島市,0.80,93.6,5.6,-,98.2
112429,埼玉県,日高市,0.81,93.3,4.5,-,99.0
112437,埼玉県,吉川市,0.79,94.1,6.3,-,98.4
112453,埼玉県,ふじみ野市,0.76,98.9,2.8,-,97.7
112461,埼玉県,白岡市,0.77,91.3,4.1,-,98.0
113018,埼玉県,伊奈町,0.81,96.2,6.6,-,99.6
113247,埼玉県,三芳町,1.06,88.0,9.6,43.7,99.1
113263,埼玉県,毛呂山町,0.58,92.3,8.2,25.0,96.6
113271,埼玉県,越生町,0.46,89.9,5.7,-,96.2
113417,埼玉県,滑川町,0.81,89.8,7.5,5.9,98.1
113425,埼玉県,嵐山町,0.73,84.4,9.0,24.8,98.3
113433,埼玉県,小川町,0.59,87.9,5.2,15.4,100.5
113468,埼玉県,川島町,0.73,88.9,4.1,1.9,97.7
113476,埼玉県,吉見町,0.63,86.5,5.6,-,97.4
113484,埼玉県,鳩山町,0.51,91.2,11.7,76.6,96.0
113492,埼玉県,ときがわ町,0.38,95.4,5.5,-,96.0
113611,埼玉県,横瀬町,0.48,84.8,7.3,38.0,96.0
113620,埼玉県,皆野町,0.38,84.7,6.2,-,92.6
113638,埼玉県,長瀞町,0.36,77.9,11.2,-,94.0
113654,埼玉県,小鹿野町,0.30,86.9,8.2,15.8,94.7
113697,埼玉県,東秩父村,0.18,92.0,2.9,-,96.4
113816,埼玉県,美里町,0.62,80.5,7.5,-,97.2
113832,埼玉県,神川町,0.48,83.7,7.5,-,99.1
113859,埼玉県,上里町,0.74,95.4,9.2,-,98.0
114081,埼玉県,寄居町,0.77,85.2,3.1,10.0,97.1
114421,埼玉県,宮代町,0.58,93.0,5.8,-,94.8
114642,埼玉県,杉戸町,0.72,91.1,6.6,-,95.4
114651,埼玉県,松伏町,0.61,86.0,6.2,8.0,98.2
121002,千葉県,千葉市,0.89,98.4,10.7,122.4,100.6
122025,千葉県,銚子市,0.58,92.1,13.4,65.1,98.6
122033,千葉県,市川市,1.07,92.5,2.1,-,101.0
122041,千葉県,船橋市,0.92,94.8,3.7,-,99.6
122050,千葉県,館山市,0.55,94.7,6.8,51.1,99.9
122068,千葉県,木更津市,0.84,92.8,4.4,-,100.9
122076,千葉県,松戸市,0.84,93.6,2.0,13.2,100.9
122084,千葉県,野田市,0.80,93.5,4.3,-,99.2
122106,千葉県,茂原市,0.75,97.3,11.4,74.6,100.4
122114,千葉県,成田市,1.27,90.2,9.9,92.2,100.9
122122,千葉県,佐倉市,0.86,93.7,1.7,-,98.8
122131,千葉県,東金市,0.65,88.9,3.1,23.6,100.7
122157,千葉県,旭市,0.49,94.5,9.9,-,98.7
122165,千葉県,習志野市,0.89,96.9,7.6,30.5,100.9
122173,千葉県,柏市,0.91,90.6,1.1,-,102.0
122181,千葉県,勝浦市,0.47,99.8,7.1,-,100.2
122190,千葉県,市原市,1.06,89.7,5.5,2.4,100.0
122203,千葉県,流山市,0.92,89.8,2.2,49.2,102.6
122211,千葉県,八千代市,0.91,96.6,6.6,2.8,103.2
122220,千葉県,我孫子市,0.74,95.3,2.0,-,99.8
122238,千葉県,鴨川市,0.50,102.2,9.9,80.1,99.4
122246,千葉県,鎌ケ谷市,0.72,98.4,5.6,38.0,100.8
122254,千葉県,君津市,1.00,94.1,4.2,30.9,99.7
122262,千葉県,富津市,0.86,93.6,7.7,45.0,102.6
122271,千葉県,浦安市,1.42,86.7,7.4,28.5,101.2
122289,千葉県,四街道市,0.74,90.5,2.0,-,99.6
122297,千葉県,袖ケ浦市,1.09,90.1,4.1,5.9,99.2
122301,千葉県,八街市,0.62,97.5,6.7,45.2,99.2
122319,千葉県,印西市,1.06,79.5,0.5,-,99.0
122327,千葉県,白井市,0.84,89.5,4.8,44.2,102.1
122335,千葉県,富里市,0.74,94.5,6.8,-,98.9
122343,千葉県,南房総市,0.31,93.4,8.9,-,99.0
122351,千葉県,匝瑳市,0.46,97.1,7.3,5.7,102.1
122360,千葉県,香取市,0.50,90.8,9.3,5.2,99.9
122378,千葉県,山武市,0.47,94.8,6.1,-,101.1
122386,千葉県,いすみ市,0.41,90.5,6.4,8.1,99.4
122394,千葉県,大網白里市,0.58,99.8,9.3,32.7,98.8
